part_number,product_model,customer,system_quantity,csv_current_qty,difference_quantity,applied_initial_quantity,current_before_recalc,entries_since_period_start,exits_since_period_start,return_entries_since_period_start,return_losses_since_period_start,new_current_quantity,status
EBR43713606,MM Cancun Better Gas Slide in LSGL5845X,LG,276,470,194,470,-70,34,380,0,0,124,diferencia
EBR43713607,LUPIN,LG,0,11,11,11,0,0,0,0,0,11,diferencia
EBR43713608,LUPIN,LG,64,142,78,142,32,88,120,0,0,110,diferencia
EBR43713701,(ì˜¤ë¸)MM Lupin2 Good Elec Slide in LSEL6333X POWER,LG,0,20,20,20,0,0,0,0,0,20,diferencia
EBR43713702,(ì˜¤ë¸)MM Lupin2 Good Gas Slide in LSGL5833X POWER,LG,120,0,-120,0,120,0,0,0,0,0,diferencia
EBR43713703,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR44599301,LUPIN,LG,-211,184,395,184,-211,0,0,0,0,184,diferencia
EBR44599302,LUPIN,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR44599401,LUPIN,LG,89,67,-22,67,89,0,0,0,0,67,diferencia
EBR44599402,LUPIN,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR49498866,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR49498867,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR49498879,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR49498880,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR49498881,pending,LG,0,5,5,5,0,0,0,0,0,5,diferencia
EBR49498905,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR49498917,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR58010501,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR59400502,pending,LG,-2400,24567,26967,24567,-9642,0,7242,0,0,17325,diferencia
EBR59400503,pending,LG,-800,9800,10600,9800,-1400,0,600,0,0,9200,diferencia
EBR60388502,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR60388509,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR60388544,pending,LG,0,7200,7200,7200,0,0,0,0,0,7200,diferencia
EBR60969302,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61365901,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61365902,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61439203,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61439204,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61439205,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61439206,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61526801,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61526802,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61526803,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61526804,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR61526805,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR62357901,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64110557,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64110562,pending,LG,0,2,2,2,0,0,0,0,0,2,diferencia
EBR64110563,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64110565,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264102,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264104,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264105,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264106,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264107,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264108,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264112,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264113,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264124,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64264201,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64585301,pending,LG,0,19,19,19,0,0,0,0,0,19,diferencia
EBR64624605,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64624901,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64624903,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64624907,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64730401,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64730402,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR64730408,pending,LG,-2400,95749,98149,95749,-25802,0,23402,0,0,72347,diferencia
EBR64730409,pending,LG,0,4800,4800,4800,0,0,0,0,0,4800,diferencia
EBR64734405,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR65002716,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR65002718,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR67109401,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR67109402,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR71261602,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR72822702,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR72822703,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR72822704,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR72822801,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR73821006,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR74164810,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR75857502,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR75857503,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR75857504,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR75857505,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76111001,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76111002,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76332902,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76664501,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76664502,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76664503,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683901,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
