id,entry_folio,inventory_id,catalog_id,part_number,quantity,available_quantity,is_fifo_layer_only,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reference_code,batch_no,notes,registered_by,movement_at,created_at
815,EMB-ENT-20260507-151315-450,18,18,EBR30299363,60,60,0,-374,-314,RAPTOR,PCB,LG,pending,SIN-UBICACION,EBR30299363,,QR: EBR30299363 | Qty registrada: 60,Sergio Torres,2026-05-07 09:13:13,2026-05-07 15:13:15
816,EMB-ENT-20260507-151626-427,18,18,EBR30299363,60,60,0,-314,-254,RAPTOR,PCB,LG,pending,SIN-UBICACION,EBR30299363,,QR: EBR30299363 | Qty registrada: 60,Rubi Garcia,2026-05-07 09:16:25,2026-05-07 15:16:26
817,EMB-ENT-20260507-152209-930,388,388,EBR24212302,60,60,0,584,644,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212302,,QR: EBR24212302 | Qty registrada: 60,Rubi Garcia,2026-05-07 09:22:09,2026-05-07 15:22:09
818,EMB-ENT-20260507-153126-446,272,272,EAD00576610,80,80,0,3092,3172,pending,pending,LG,pending,SIN-UBICACION,EAD00576610,,QR: EAD00576610 | Qty registrada: 80,Sergio Torres,2026-05-07 09:31:25,2026-05-07 15:31:26
819,EMB-ENT-20260507-153513-132,126,126,ABQ75822454,100,100,0,-219,-119,RAPTOR,Case Display,LG,pending,SIN-UBICACION,ABQ75822454,,QR: ABQ75822454 | Qty registrada: 100,Sergio Torres,2026-05-07 09:35:11,2026-05-07 15:35:13
820,EMB-ENT-20260507-155911-838,75,75,EBR37437079,40,40,0,-227,-187,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,SIN-UBICACION,EBR37437079,,QR: EBR37437079 | Qty registrada: 40,Sergio Torres,2026-05-07 09:59:09,2026-05-07 15:59:11
821,EMB-ENT-20260507-155925-699,392,392,EBR24212306,120,120,0,2081,2201,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 120,Sergio Torres,2026-05-07 09:59:23,2026-05-07 15:59:25
822,EMB-ENT-20260507-160832-504,408,408,EBR23966213,60,60,0,-395,-335,VF3_Better_L_Single_USA,NULL,LG,pending,SIN-UBICACION,EBR23966213,,QR: EBR23966213 | Qty registrada: 60,Sergio Torres,2026-05-07 10:08:30,2026-05-07 16:08:32
823,EMB-ENT-AJ-20260507-101316-161,391,391,EBR24212304,20,20,0,1561,1581,NOVA,PCB,LG,pending,,AJUSTE:AJ-ENT-20260507-101315-813FEF,,Ajuste manual por lote de entradas AJ-ENT-20260507-101315-813FEF: OVEN,Rubi Garcia,2026-05-07 10:13:00,2026-05-07 16:13:16
824,EMB-ENT-20260507-161425-439,272,272,EAD00576610,80,80,0,3172,3252,pending,pending,LG,pending,SIN-UBICACION,EAD00576610,,QR: EAD00576610 | Qty registrada: 80,Sergio Torres,2026-05-07 10:14:23,2026-05-07 16:14:25
825,EMB-ENT-20260507-161433-936,391,391,EBR24212304,40,40,0,1541,1581,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212304,,QR: EBR24212304 | Qty registrada: 40,Braulio Meza,2026-05-07 10:14:30,2026-05-07 16:14:33
826,EMB-ENT-20260507-163203-352,409,409,EBR23966214,60,60,0,13,73,pending,pending,LG,pending,SIN-UBICACION,EBR23966214,,QR: EBR23966214 | Qty registrada: 60,Braulio Meza,2026-05-07 10:32:00,2026-05-07 16:32:03
827,EMB-ENT-20260507-163216-960,408,408,EBR23966213,60,60,0,-395,-335,VF3_Better_L_Single_USA,NULL,LG,pending,SIN-UBICACION,EBR23966213,,QR: EBR23966213 | Qty registrada: 60,Braulio Meza,2026-05-07 10:32:13,2026-05-07 16:32:16
828,EMB-ENT-20260507-163236-690,142,142,ABQ30226610,120,120,0,-833,-713,pending,pending,LG,pending,SIN-UBICACION,ABQ30226610,,QR: ABQ30226610 | Qty registrada: 120,Braulio Meza,2026-05-07 10:32:33,2026-05-07 16:32:36
829,EMB-ENT-20260507-163408-831,391,391,EBR24212304,60,60,0,1581,1641,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212304,,QR: EBR24212304 | Qty registrada: 60,Sergio Torres,2026-05-07 10:34:06,2026-05-07 16:34:09
830,EMB-ENT-20260507-163429-597,388,388,EBR24212302,120,120,0,644,764,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212302,,QR: EBR24212302 | Qty registrada: 120,Sergio Torres,2026-05-07 10:34:27,2026-05-07 16:34:29
831,EMB-ENT-20260507-164133-294,272,272,EAD00576610,80,80,0,3252,3332,pending,pending,LG,pending,SIN-UBICACION,EAD00576610,,QR: EAD00576610 | Qty registrada: 80,Sergio Torres,2026-05-07 10:41:31,2026-05-07 16:41:33
